feature,status,family,rationale,evidence,source
fourier_l1_degree_3,new,Fourier shape,L1 mass refines degree-wise L2 energy and measures spectral concentration within a degree.,Fourier precedent,[2] Fourier concentration; refinement proposed here
fourier_negative_degree_3,new,Fourier phase,Counts coefficient signs discarded by Fourier energy; controlled collisions show basis-specific phase sensitivity.,experimental/compositional,present controlled-intervention evidence
fourier_zero_degree_3,new,Fourier shape,"Measures spectral sparsity within a degree, which energy totals cannot recover.",Fourier heuristic,[2] Fourier concentration; refinement proposed here
anf_terms_degree_4,new,ANF support,Counts algebraic support discarded by degree alone; gate composition acts explicitly on ANF polynomials.,compositional hypothesis,elementary GF(2) gate composition; present hypothesis
fourier_l1_degree_4,new,Fourier shape,L1 mass refines degree-wise L2 energy and measures spectral concentration within a degree.,Fourier precedent,[2] Fourier concentration; refinement proposed here
fourier_negative_degree_4,new,Fourier phase,Counts coefficient signs discarded by Fourier energy; controlled collisions show basis-specific phase sensitivity.,experimental/compositional,present controlled-intervention evidence
fourier_zero_degree_4,new,Fourier shape,"Measures spectral sparsity within a degree, which energy totals cannot recover.",Fourier heuristic,[2] Fourier concentration; refinement proposed here
sensitivity_variance,new,local sensitivity,Retains heterogeneity across inputs beyond the mean influence used by classical bounds.,refinement of direct precedent,[1] Khrapchenko-type formula lower bounds
maximum_local_sensitivity,new,local sensitivity,Worst-case sensitivity is a standard Boolean complexity measure related to other query measures.,indirect precedent,[1] Khrapchenko-type formula lower bounds
zero_conditional_sensitivity,new,local sensitivity,Average boundary degree on zero-inputs is one factor in Khrapchenko's formula lower bound.,direct lower-bound term,[1] Khrapchenko-type formula lower bounds
one_conditional_sensitivity,new,local sensitivity,Average boundary degree on one-inputs is one factor in Khrapchenko's formula lower bound.,direct lower-bound term,[1] Khrapchenko-type formula lower bounds
khrapchenko_product,new,local sensitivity,This product directly lower-bounds De Morgan formula leaf size.,direct lower bound,[1] Khrapchenko-type formula lower bounds
order_2_derivative_std,new,higher derivatives,Measures anisotropy of multi-bit derivatives beyond ordinary single-variable influence.,Boolean-analysis heuristic,"[1,3] Boolean/query complexity precedent"
order_2_derivative_max,new,higher derivatives,"Captures the strongest multi-bit perturbation direction, which degree-wise energy averages away.",Boolean-analysis heuristic,"[1,3] Boolean/query complexity precedent"
order_3_derivative_std,new,higher derivatives,Measures anisotropy of multi-bit derivatives beyond ordinary single-variable influence.,Boolean-analysis heuristic,"[1,3] Boolean/query complexity precedent"
order_3_derivative_max,new,higher derivatives,"Captures the strongest multi-bit perturbation direction, which degree-wise energy averages away.",Boolean-analysis heuristic,"[1,3] Boolean/query complexity precedent"
mean_certificate_size,new,certificates,Certificates measure how many inputs suffice to force the output and bound decision-tree complexity.,indirect complexity precedent,[3] decision-tree complexity survey
maximum_certificate_size,new,certificates,Worst-case certificate complexity is polynomially related to standard query-complexity measures.,indirect complexity precedent,[3] decision-tree complexity survey
mean_certificate_size_output_0,new,certificates,Output-conditioned certificates distinguish the two sides of the truth-table boundary.,indirect complexity precedent,[3] decision-tree complexity survey
mean_certificate_size_output_1,new,certificates,Output-conditioned certificates distinguish the two sides of the truth-table boundary.,indirect complexity precedent,[3] decision-tree complexity survey
constant_faces_codimension_1,new,restrictions,Counts restrictions that collapse the function; formula shrinkage under restrictions is a classical lower-bound method.,direct methodological precedent,[4] formula shrinkage under restrictions
constant_faces_codimension_2,new,restrictions,Counts restrictions that collapse the function; formula shrinkage under restrictions is a classical lower-bound method.,direct methodological precedent,[4] formula shrinkage under restrictions
constant_faces_codimension_3,new,restrictions,Counts restrictions that collapse the function; formula shrinkage under restrictions is a classical lower-bound method.,direct methodological precedent,[4] formula shrinkage under restrictions
decision_tree_depth,new,decision trees,"Exact decision-tree depth is linked by known inequalities to sensitivity, degree, and certificates.",indirect complexity precedent,[3] decision-tree complexity survey
decision_tree_leaf_count,new,decision trees,Decision-tree leaves measure a tree representation cost and give constructive Boolean formulas.,constructive upper-bound precedent,[3] decision-tree complexity survey
and_factorable_partitions,new,factorability,A nontrivial AND decomposition realizes the formula recurrence as two smaller independent subformulas.,direct compositional rationale,minimum-formula recurrence; present hypothesis
or_factorable_partitions,new,factorability,A nontrivial OR decomposition realizes the formula recurrence as two smaller independent subformulas.,direct compositional rationale,minimum-formula recurrence; present hypothesis
xor_factorable_partitions,new,factorability,XOR decomposition measures parity structure that must be simulated in gate bases lacking XOR.,direct compositional rationale,minimum-formula recurrence; present hypothesis
prime_0_count,new,prime cubes,Prime implicants/implicates determine canonical DNF/CNF constructions and hence explicit formula upper bounds.,constructive upper-bound precedent,[6] prime implicants and canonical DNF/CNF
prime_0_mean_literals,new,prime cubes,Prime implicants/implicates determine canonical DNF/CNF constructions and hence explicit formula upper bounds.,constructive upper-bound precedent,[6] prime implicants and canonical DNF/CNF
prime_0_minimum_literals,new,prime cubes,Prime implicants/implicates determine canonical DNF/CNF constructions and hence explicit formula upper bounds.,constructive upper-bound precedent,[6] prime implicants and canonical DNF/CNF
prime_1_count,new,prime cubes,Prime implicants/implicates determine canonical DNF/CNF constructions and hence explicit formula upper bounds.,constructive upper-bound precedent,[6] prime implicants and canonical DNF/CNF
prime_1_mean_literals,new,prime cubes,Prime implicants/implicates determine canonical DNF/CNF constructions and hence explicit formula upper bounds.,constructive upper-bound precedent,[6] prime implicants and canonical DNF/CNF
prime_1_minimum_literals,new,prime cubes,Prime implicants/implicates determine canonical DNF/CNF constructions and hence explicit formula upper bounds.,constructive upper-bound precedent,[6] prime implicants and canonical DNF/CNF
one_region_components,new,cube topology,Counts disconnected one-regions; it refines the hypercube boundary geometry measured by influence.,geometric heuristic,[1] boundary/sensitivity identity; present refinement
zero_region_components,new,cube topology,Counts disconnected zero-regions; it refines the hypercube boundary geometry measured by influence.,geometric heuristic,[1] boundary/sensitivity identity; present refinement
total_monochromatic_components,new,cube topology,Measures fragmentation of both output regions beyond their shared boundary size.,geometric heuristic,[1] boundary/sensitivity identity; present refinement
maximum_absolute_walsh,new,Fourier shape,The largest Walsh coefficient measures proximity to an affine character and refines energy totals.,Fourier precedent,[2] Fourier concentration; refinement proposed here
fourier_entropy,new,Fourier shape,Spectral entropy measures how diffusely Fourier mass is distributed rather than only where by degree.,Fourier heuristic,[2] Fourier concentration; refinement proposed here
canalizing_variable_count,new,restrictions,Canalizing variables yield constant cofactors and immediate Shannon/formula simplifications.,constructive rationale,[4] formula shrinkage under restrictions
cofactor_orbit_diversity,new,restrictions,Counts distinct restricted subproblems modulo input renaming; fewer types suggest reusable recursive structure.,restriction heuristic,[4] formula shrinkage under restrictions
